instance,status,meanSolverTime,meanSRTime
inst-664-744459472,graded,101.709,0.833
inst-665-138105639,graded,41.483,1.044
inst-668-236760788,graded,77.795,0.568
inst-669-138105639,graded,23.393,0.696
inst-669-1450488136,graded,14.369,0.377
inst-669-236760788,graded,10.428,0.629
inst-669-725167965,graded,13.854,1.838
inst-669-744459472,graded,14.0,0.745
inst-687-236760788,graded,307.164,3.023
inst-691-1006987790,graded,18.589,1.446
inst-691-1125634119,graded,201.544,0.653
inst-691-138105639,graded,274.165,0.779
inst-691-1450488136,graded,435.851,1.37
inst-691-1678613759,graded,540.708,1.442
inst-691-236760788,graded,459.197,0.658
inst-691-622758660,graded,31.934,0.462
inst-691-657169740,graded,159.372,21.615
inst-691-744459472,graded,439.068,1.266
inst-692-138105639,graded,234.437,0.591
inst-695-138105639,graded,22.412,0.463
